created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-05-28T09:28:08+05:30,333,25,72,973,732,,,,
2022-05-28T09:28:54+05:30,334,25,72,980,742,,,,
2022-05-28T09:29:15+05:30,335,26,72,973,733,,,,
2022-05-28T09:30:05+05:30,336,26,72,972,732,,,,
2022-05-28T09:38:08+05:30,337,26,72,968,727,,,,
2022-05-28T09:43:49+05:30,338,26,72,967,731,,,,
2022-05-28T09:46:05+05:30,339,26,72,967,727,,,,
2022-05-28T09:46:40+05:30,340,26,72,968,729,,,,
2022-05-28T09:48:42+05:30,341,26,72,968,728,,,,
2022-05-28T09:49:46+05:30,342,26,72,964,727,,,,
2022-05-28T09:50:05+05:30,343,26,72,979,740,,,,
2022-05-28T09:51:47+05:30,344,26,72,968,738,,,,
2022-05-28T09:54:04+05:30,345,26,72,968,729,,,,
2022-05-28T09:56:56+05:30,346,26,71,968,731,,,,
2022-05-28T09:58:10+05:30,347,26,71,972,729,,,,
2022-05-28T09:58:42+05:30,348,26,71,969,731,,,,
2022-05-28T09:59:18+05:30,349,26,71,971,731,,,,
2022-05-28T10:00:20+05:30,350,26,71,972,729,,,,
2022-05-28T10:01:04+05:30,351,26,71,971,731,,,,
2022-05-28T10:02:41+05:30,352,26,71,970,730,,,,
2022-05-28T10:03:27+05:30,353,26,71,970,730,,,,
2022-05-28T10:04:31+05:30,354,26,71,973,731,,,,
2022-05-28T10:07:14+05:30,355,26,71,973,732,,,,
2022-05-28T10:09:04+05:30,356,26,71,973,732,,,,
2022-05-28T10:09:46+05:30,357,26,71,972,731,,,,
2022-05-28T10:10:08+05:30,358,26,71,972,731,,,,
2022-05-28T10:12:13+05:30,359,26,71,978,730,,,,
